Date, arduino, arduino_mv, HX711, HX711_mv
15/05/22 at 12:09AM,0,0.00,-3967,4.00
15/05/22 at 12:19AM,0,0.00,-4305,2.00
15/05/22 at 12:29AM,0,0.00,-4795,0.00
15/05/22 at 12:39AM,0,0.00,-3889,5.00
15/05/22 at 12:49AM,0,0.00,-4518,0.00
15/05/22 at 12:59AM,0,0.00,-3628,6.00
15/05/22 at 01:09AM,0,0.00,-3547,7.00
15/05/22 at 01:19AM,0,0.00,-3884,5.00
15/05/22 at 01:29AM,0,0.00,-3295,8.00
15/05/22 at 01:39AM,0,0.00,-3270,9.00
15/05/22 at 01:49AM,0,0.00,-3439,7.00
15/05/22 at 01:59AM,0,0.00,-3353,8.00
15/05/22 at 02:10AM,0,0.00,-3457,7.00
15/05/22 at 02:20AM,0,0.00,-3501,7.00
15/05/22 at 02:30AM,0,0.00,-3648,6.00
15/05/22 at 02:40AM,0,0.00,-4791,0.00
15/05/22 at 02:50AM,0,0.00,-4546,0.00
15/05/22 at 03:00AM,0,0.00,-4189,3.00
15/05/22 at 03:10AM,0,0.00,-5160,-3.00
15/05/22 at 03:20AM,0,0.00,-4489,1.00
15/05/22 at 03:30AM,0,0.00,-4466,1.00
15/05/22 at 03:40AM,0,0.00,-3368,8.00
15/05/22 at 03:50AM,0,0.00,-3633,6.00
15/05/22 at 04:00AM,0,0.00,-4630,0.00
15/05/22 at 04:10AM,0,0.00,-3998,4.00
15/05/22 at 04:20AM,0,0.00,-4160,3.00
15/05/22 at 04:30AM,0,0.00,-4409,1.00
15/05/22 at 04:40AM,0,0.00,-3661,6.00
15/05/22 at 04:50AM,0,0.00,-4291,2.00
15/05/22 at 05:00AM,0,0.00,-3967,4.00
15/05/22 at 05:10AM,0,0.00,-4162,3.00
15/05/22 at 05:20AM,0,0.00,-4356,2.00
15/05/22 at 05:30AM,0,0.00,-4310,2.00
15/05/22 at 05:40AM,0,0.00,-4301,2.00
15/05/22 at 05:50AM,0,0.00,-3914,4.00
15/05/22 at 06:00AM,0,0.00,-4040,4.00
15/05/22 at 06:10AM,0,0.00,-3807,5.00
15/05/22 at 06:20AM,0,0.00,-4304,2.00
15/05/22 at 06:30AM,0,0.00,-4632,0.00
15/05/22 at 06:40AM,0,0.00,-4024,4.00
15/05/22 at 06:50AM,0,0.00,-3466,7.00
15/05/22 at 07:00AM,0,0.00,-4171,3.00
15/05/22 at 07:10AM,0,0.00,-4225,2.00
15/05/22 at 07:20AM,0,0.00,-3601,6.00
15/05/22 at 07:31AM,0,0.00,-3819,5.00
15/05/22 at 07:41AM,0,0.00,-3845,5.00
15/05/22 at 07:51AM,0,0.00,-4388,1.00
15/05/22 at 08:01AM,0,0.00,-4426,1.00
15/05/22 at 08:11AM,0,0.00,-4703,0.00
15/05/22 at 08:21AM,0,0.00,-3502,7.00
15/05/22 at 08:31AM,0,0.00,-4274,2.00
15/05/22 at 08:41AM,0,0.00,-4794,0.00
15/05/22 at 08:51AM,0,0.00,-4480,1.00
15/05/22 at 09:01AM,0,0.00,-4162,3.00
15/05/22 at 09:11AM,0,0.00,-4349,2.00
15/05/22 at 09:21AM,0,0.00,-3908,4.00
15/05/22 at 09:31AM,0,0.00,-4602,0.00
15/05/22 at 09:41AM,0,0.00,-4883,-1.00
15/05/22 at 09:51AM,0,0.00,-3629,6.00
15/05/22 at 10:01AM,0,0.00,-3590,7.00
15/05/22 at 10:11AM,0,0.00,-4226,2.00
15/05/22 at 10:21AM,0,0.00,-3732,6.00
15/05/22 at 10:31AM,0,0.00,-4448,1.00
15/05/22 at 10:41AM,0,0.00,-3261,9.00
15/05/22 at 10:51AM,0,0.00,-4742,0.00
15/05/22 at 11:01AM,0,0.00,-3695,6.00
15/05/22 at 11:11AM,0,0.00,-4049,4.00
15/05/22 at 11:21AM,0,0.00,-4035,4.00
15/05/22 at 11:31AM,0,0.00,-4784,0.00
15/05/22 at 11:41AM,0,0.00,-4231,2.00
15/05/22 at 11:51AM,0,0.00,-4996,-2.00
15/05/22 at 12:01PM,0,0.00,-4044,4.00
15/05/22 at 12:11PM,0,0.00,-4331,2.00
15/05/22 at 12:21PM,0,0.00,-4929,-1.00
15/05/22 at 12:31PM,0,0.00,-4098,3.00
15/05/22 at 12:41PM,0,0.00,-3341,8.00
15/05/22 at 12:51PM,0,0.00,-4082,3.00
15/05/22 at 01:01PM,0,0.00,-4460,1.00
15/05/22 at 01:11PM,0,0.00,-4141,3.00
15/05/22 at 01:21PM,0,0.00,-4456,1.00
15/05/22 at 01:32PM,0,0.00,-3970,4.00
15/05/22 at 01:42PM,0,0.00,-3719,6.00
15/05/22 at 01:52PM,0,0.00,-2992,10.00
15/05/22 at 02:02PM,0,0.00,-3613,6.00
15/05/22 at 02:12PM,0,0.00,-4018,4.00
15/05/22 at 02:22PM,0,0.00,-4280,2.00
15/05/22 at 02:32PM,0,0.00,-3791,5.00
15/05/22 at 02:42PM,0,0.00,-2874,11.00
15/05/22 at 02:52PM,0,0.00,-3520,7.00
15/05/22 at 03:02PM,0,0.00,-4855,-1.00
15/05/22 at 03:12PM,0,0.00,-3434,8.00
