Date, arduino, min, max, ec_type, arduino_mv, HX711, min, max, ec_type, HX711_mv
01/09/22 at 12:07AM,15.60,15.00,16.00,0.19,76.44,8207.10,7360.00,9121.00,289.00,83.62
01/09/22 at 12:17AM,15.50,15.00,16.00,0.16,75.95,8224.50,8031.00,8496.00,57.71,83.73
01/09/22 at 12:27AM,5.70,5.00,7.00,0.22,27.93,611.00,315.00,1158.00,19.92,34.29
01/09/22 at 12:37AM,9.30,9.00,10.00,0.09,45.57,3443.90,3001.00,3763.00,16.48,52.69
01/09/22 at 12:47AM,11.90,11.00,12.00,0.03,58.31,5314.90,4686.00,5943.00,83.77,64.84
01/09/22 at 12:57AM,8.20,8.00,9.00,0.06,40.18,2399.70,1897.00,2840.00,139.24,45.91
01/09/22 at 01:07AM,7.00,7.00,7.00,0.00,34.30,1353.70,1038.00,1762.00,14.01,39.11
01/09/22 at 01:17AM,5.00,4.00,6.00,0.32,24.50,114.80,-627.00,812.00,85.95,31.07
01/09/22 at 01:27AM,5.30,5.00,6.00,0.09,25.97,619.60,69.00,1254.00,2.66,34.35
01/09/22 at 01:37AM,4.20,4.00,5.00,0.25,20.58,-486.80,-804.00,-294.00,17.14,27.16
01/09/22 at 01:48AM,4.80,4.00,5.00,0.06,23.52,-165.30,-655.00,75.00,75.99,29.25
01/09/22 at 01:58AM,3.40,3.00,5.00,0.13,16.66,-626.10,-1607.00,-73.00,218.48,26.26
01/09/22 at 02:08AM,6.20,6.00,7.00,0.06,30.38,727.90,206.00,1257.00,93.89,35.05
01/09/22 at 02:18AM,3.30,3.00,4.00,0.22,16.17,-992.00,-1555.00,-642.00,63.88,23.88
01/09/22 at 02:28AM,2.20,2.00,3.00,0.06,10.78,-1758.50,-2080.00,-1461.00,38.11,18.91
01/09/22 at 02:38AM,1.70,1.00,2.00,0.22,8.33,-2406.00,-2934.00,-1793.00,193.85,14.70
01/09/22 at 02:48AM,2.00,2.00,2.00,0.00,9.80,-2043.80,-2254.00,-1750.00,92.91,17.05
01/09/22 at 02:58AM,0.90,0.00,1.00,0.03,4.41,-2661.10,-3215.00,-2201.00,28.81,13.04
01/09/22 at 03:08AM,0.80,0.00,1.00,0.25,3.92,-2697.40,-3025.00,-2039.00,208.20,12.81
01/09/22 at 03:18AM,1.40,1.00,2.00,0.19,6.86,-2248.90,-3055.00,-1228.00,25.58,15.72
01/09/22 at 03:28AM,1.20,1.00,2.00,0.06,5.88,-2376.90,-2851.00,-1658.00,42.41,14.89
01/09/22 at 03:38AM,1.00,0.00,2.00,0.00,4.90,-2493.20,-3213.00,-1678.00,99.67,14.14
01/09/22 at 03:48AM,0.90,0.00,1.00,0.03,4.41,-2444.50,-3105.00,-2036.00,31.78,14.45
01/09/22 at 03:58AM,0.40,0.00,1.00,0.13,1.96,-3167.80,-3663.00,-2578.00,111.25,9.75
01/09/22 at 04:08AM,0.00,0.00,0.00,0.00,0.00,-2974.70,-4074.00,-1510.00,463.18,11.01
01/09/22 at 04:18AM,0.00,0.00,0.00,0.00,0.00,-3227.50,-3952.00,-2218.00,104.20,9.37
01/09/22 at 04:28AM,0.00,0.00,0.00,0.00,0.00,-2957.00,-3895.00,-1696.00,76.84,11.12
01/09/22 at 04:38AM,0.00,0.00,0.00,0.00,0.00,-3105.90,-4391.00,-2375.00,51.26,10.16
01/09/22 at 04:48AM,0.00,0.00,0.00,0.00,0.00,-3798.10,-4439.00,-2826.00,72.13,5.66
01/09/22 at 04:58AM,0.00,0.00,0.00,0.00,0.00,-3687.90,-4606.00,-2186.00,474.94,6.38
01/09/22 at 05:08AM,0.00,0.00,0.00,0.00,0.00,-3909.00,-4464.00,-3030.00,99.30,4.94
01/09/22 at 05:18AM,0.00,0.00,0.00,0.00,0.00,-3925.70,-4611.00,-3394.00,145.56,4.83
01/09/22 at 05:28AM,0.00,0.00,0.00,0.00,0.00,-4534.60,-5080.00,-3922.00,143.38,0.88
01/09/22 at 05:38AM,0.00,0.00,0.00,0.00,0.00,-4824.20,-5793.00,-3490.00,60.02,-1.00
01/09/22 at 05:48AM,0.00,0.00,0.00,0.00,0.00,-3857.10,-5066.00,-2661.00,147.71,5.28
01/09/22 at 05:58AM,0.00,0.00,0.00,0.00,0.00,-4516.00,-5187.00,-3474.00,178.67,1.00
01/09/22 at 06:08AM,0.00,0.00,0.00,0.00,0.00,-4586.80,-5160.00,-3674.00,110.93,0.54
01/09/22 at 06:18AM,0.00,0.00,0.00,0.00,0.00,-4474.30,-5144.00,-3821.00,9.08,1.27
01/09/22 at 06:28AM,0.00,0.00,0.00,0.00,0.00,-4466.10,-5321.00,-3789.00,2.81,1.32
01/09/22 at 06:38AM,0.00,0.00,0.00,0.00,0.00,-4286.90,-5043.00,-3528.00,75.29,2.49
01/09/22 at 06:48AM,0.00,0.00,0.00,0.00,0.00,-4302.00,-4967.00,-3391.00,64.19,2.39
01/09/22 at 06:58AM,0.00,0.00,0.00,0.00,0.00,-4409.80,-4781.00,-3918.00,26.31,1.69
01/09/22 at 07:08AM,0.00,0.00,0.00,0.00,0.00,-4236.90,-4928.00,-3525.00,45.51,2.81
01/09/22 at 07:18AM,0.00,0.00,0.00,0.00,0.00,-3999.80,-4828.00,-3305.00,49.58,4.35
01/09/22 at 07:28AM,0.00,0.00,0.00,0.00,0.00,-3844.70,-4411.00,-2708.00,65.05,5.36
01/09/22 at 07:38AM,0.00,0.00,0.00,0.00,0.00,-4519.70,-4821.00,-4021.00,157.70,0.98
01/09/22 at 07:48AM,0.00,0.00,0.00,0.00,0.00,-4418.30,-5344.00,-3593.00,292.73,1.63
01/09/22 at 07:58AM,0.00,0.00,0.00,0.00,0.00,-4463.30,-4883.00,-4126.00,10.97,1.34
01/09/22 at 08:08AM,0.00,0.00,0.00,0.00,0.00,-3766.80,-4625.00,-2914.00,85.13,5.86
01/09/22 at 08:18AM,0.00,0.00,0.00,0.00,0.00,-3754.00,-5301.00,-2668.00,343.42,5.95
01/09/22 at 08:28AM,0.00,0.00,0.00,0.00,0.00,-3845.60,-4390.00,-2952.00,92.15,5.35
01/09/22 at 08:38AM,0.00,0.00,0.00,0.00,0.00,-4245.10,-4707.00,-3778.00,98.38,2.76
01/09/22 at 08:48AM,0.00,0.00,0.00,0.00,0.00,-4284.40,-4939.00,-2930.00,428.30,2.50
01/09/22 at 08:58AM,0.00,0.00,0.00,0.00,0.00,-3809.00,-4766.00,-3019.00,18.66,5.59
01/09/22 at 09:08AM,0.00,0.00,0.00,0.00,0.00,-4152.10,-5105.00,-3480.00,144.55,3.36
01/09/22 at 09:19AM,0.00,0.00,0.00,0.00,0.00,-4224.70,-5072.00,-3278.00,70.42,2.89
01/09/22 at 09:29AM,0.00,0.00,0.00,0.00,0.00,-3445.60,-3814.00,-3130.00,104.80,7.95
01/09/22 at 09:39AM,0.00,0.00,0.00,0.00,0.00,-3972.10,-4571.00,-3230.00,2.50,4.53
01/09/22 at 09:49AM,0.00,0.00,0.00,0.00,0.00,-3996.40,-4620.00,-3456.00,130.79,4.37
01/09/22 at 09:59AM,0.00,0.00,0.00,0.00,0.00,-4133.70,-4592.00,-3403.00,54.49,3.48
01/09/22 at 10:09AM,0.00,0.00,0.00,0.00,0.00,-4030.00,-4823.00,-2529.00,47.12,4.16
01/09/22 at 10:19AM,0.30,0.00,3.00,0.85,1.47,-4633.50,-5322.00,-3853.00,246.82,0.24
01/09/22 at 10:29AM,0.00,0.00,0.00,0.00,0.00,-4572.80,-5246.00,-3932.00,16.82,0.63
01/09/22 at 10:39AM,0.00,0.00,0.00,0.00,0.00,-3705.40,-4868.00,-2715.00,3.04,6.26
01/09/22 at 10:49AM,0.00,0.00,0.00,0.00,0.00,-4017.90,-4785.00,-3247.00,242.58,4.23
01/09/22 at 10:59AM,0.00,0.00,0.00,0.00,0.00,-4013.30,-5043.00,-2800.00,241.82,4.26
01/09/22 at 11:09AM,0.00,0.00,0.00,0.00,0.00,-4265.70,-4869.00,-3331.00,154.10,2.63
01/09/22 at 11:19AM,0.00,0.00,0.00,0.00,0.00,-3974.30,-4569.00,-3129.00,103.31,4.52
01/09/22 at 11:29AM,0.00,0.00,0.00,0.00,0.00,-3803.00,-4928.00,-2312.00,3.79,5.63
01/09/22 at 11:39AM,0.00,0.00,0.00,0.00,0.00,-4262.00,-5244.00,-3085.00,201.44,2.65
01/09/22 at 11:49AM,0.00,0.00,0.00,0.00,0.00,-4363.90,-5427.00,-3295.00,336.18,1.99
01/09/22 at 11:59AM,0.00,0.00,0.00,0.00,0.00,-4676.00,-5880.00,-2835.00,582.18,-0.04
01/09/22 at 12:09PM,0.00,0.00,0.00,0.00,0.00,-3985.40,-4884.00,-3392.00,37.13,4.45
01/09/22 at 12:19PM,0.00,0.00,0.00,0.00,0.00,-3914.50,-4720.00,-2589.00,406.51,4.91
01/09/22 at 12:29PM,0.00,0.00,0.00,0.00,0.00,-3821.30,-4514.00,-3005.00,70.74,5.51
01/09/22 at 12:39PM,0.00,0.00,0.00,0.00,0.00,-4134.50,-5275.00,-3512.00,151.00,3.48
01/09/22 at 12:49PM,0.00,0.00,0.00,0.00,0.00,-3828.80,-4513.00,-3034.00,49.39,5.46
01/09/22 at 12:59PM,0.10,0.00,1.00,0.03,0.49,-4622.70,-5052.00,-3849.00,244.67,0.31
01/09/22 at 01:09PM,0.00,0.00,0.00,0.00,0.00,-4037.70,-4930.00,-3698.00,87.18,4.11
01/09/22 at 01:19PM,0.00,0.00,0.00,0.00,0.00,-3709.10,-4363.00,-2832.00,139.42,6.24
01/09/22 at 01:29PM,0.00,0.00,0.00,0.00,0.00,-3995.90,-4643.00,-3460.00,162.51,4.38
01/09/22 at 01:39PM,0.00,0.00,0.00,0.00,0.00,-3582.60,-4753.00,-2771.00,64.70,7.06
01/09/22 at 01:49PM,0.00,0.00,0.00,0.00,0.00,-3470.60,-4419.00,-2984.00,123.52,7.79
01/09/22 at 01:59PM,0.00,0.00,0.00,0.00,0.00,-3995.60,-4593.00,-3276.00,88.04,4.38
01/09/22 at 02:09PM,0.00,0.00,0.00,0.00,0.00,-3750.90,-4426.00,-2984.00,186.54,5.97
01/09/22 at 02:19PM,0.00,0.00,0.00,0.00,0.00,-4238.70,-4871.00,-3189.00,88.13,2.80
01/09/22 at 02:29PM,0.00,0.00,0.00,0.00,0.00,-3975.20,-4645.00,-3242.00,211.81,4.51
01/09/22 at 02:17PM,20.90,20.00,21.00,0.03,102.41,11655.80,11062.00,12343.00,119.60,106.01
01/09/22 at 02:27PM,21.10,21.00,22.00,0.03,103.39,11648.70,10423.00,12222.00,387.60,105.97
01/09/22 at 02:37PM,9.50,8.00,10.00,0.16,46.55,2189.30,1596.00,2551.00,4.33,44.54
01/09/22 at 02:47PM,2.10,1.00,3.00,0.03,10.29,-1816.90,-2413.00,-1454.00,188.50,18.53
01/09/22 at 02:57PM,0.00,0.00,0.00,0.00,0.00,-3799.20,-4475.00,-3428.00,52.87,5.65
01/09/22 at 03:07PM,0.00,0.00,0.00,0.00,0.00,-3507.90,-3997.00,-3069.00,119.19,7.55
01/09/22 at 03:17PM,1.70,1.00,2.00,0.22,8.33,-1784.60,-2492.00,-1363.00,88.10,18.74
01/09/22 at 03:27PM,4.90,4.00,6.00,0.28,24.01,-209.30,-1116.00,183.00,50.50,28.97
01/09/22 at 03:37PM,2.00,1.00,5.00,0.00,9.80,-2273.70,-2676.00,-1727.00,78.84,15.56
01/09/22 at 03:47PM,1.70,1.00,2.00,0.09,8.33,-2127.70,-2491.00,-1749.00,52.90,16.51
01/09/22 at 03:57PM,0.10,0.00,1.00,0.03,0.49,-3141.80,-3712.00,-2889.00,20.49,9.92
01/09/22 at 04:07PM,0.50,0.00,1.00,0.16,2.45,-3200.80,-3588.00,-2711.00,21.44,9.54
01/09/22 at 04:17PM,0.30,0.00,1.00,0.09,1.47,-2852.40,-3438.00,-2073.00,221.80,11.80
01/09/22 at 04:27PM,2.00,2.00,2.00,0.00,9.80,-1827.70,-2280.00,-1334.00,1.99,18.46
01/09/22 at 04:37PM,2.40,2.00,3.00,0.13,11.76,-2005.80,-2502.00,-1502.00,16.38,17.30
01/09/22 at 04:47PM,1.00,0.00,2.00,0.00,4.90,-2788.60,-3596.00,-1585.00,65.02,12.22
01/09/22 at 04:57PM,1.50,0.00,2.00,0.16,7.35,-2229.30,-2792.00,-1347.00,110.77,15.85
01/09/22 at 05:07PM,5.10,5.00,6.00,0.03,24.99,-301.90,-765.00,-15.00,35.70,28.36
01/09/22 at 05:17PM,12.00,12.00,12.00,0.00,58.80,3858.40,3100.00,4530.00,78.30,55.38
01/09/22 at 05:27PM,11.10,11.00,12.00,0.03,54.39,2971.90,2271.00,3372.00,93.64,49.62
01/09/22 at 05:37PM,8.50,8.00,9.00,0.16,41.65,1582.20,946.00,2293.00,99.55,40.60
01/09/22 at 05:47PM,7.80,7.00,9.00,0.06,38.22,805.40,284.00,1096.00,4.62,35.55
01/09/22 at 05:57PM,7.40,7.00,8.00,0.13,36.26,660.50,334.00,862.00,103.25,34.61
01/09/22 at 06:07PM,7.00,7.00,7.00,0.00,34.30,570.30,125.00,1219.00,48.92,34.03
01/09/22 at 06:17PM,7.90,7.00,9.00,0.28,38.71,1383.40,802.00,2486.00,183.85,39.31
01/09/22 at 06:27PM,7.00,6.00,8.00,0.00,34.30,621.60,-82.00,1418.00,181.07,34.36
01/09/22 at 06:37PM,4.90,4.00,5.00,0.03,24.01,-245.90,-509.00,82.00,6.67,28.73
01/09/22 at 06:47PM,7.10,6.00,8.00,0.03,34.79,423.10,75.00,971.00,65.43,33.07
01/09/22 at 06:57PM,8.30,7.00,9.00,0.22,40.67,1647.00,1163.00,2194.00,70.20,41.02
01/09/22 at 07:07PM,7.40,7.00,8.00,0.13,36.26,1126.30,825.00,1522.00,55.75,37.64
01/09/22 at 07:17PM,5.90,5.00,6.00,0.03,28.91,205.90,-58.00,629.00,63.53,31.66
01/09/22 at 07:27PM,3.30,3.00,4.00,0.22,16.17,-1221.20,-1706.00,-794.00,135.09,22.39
01/09/22 at 07:37PM,2.60,2.00,4.00,0.19,12.74,-1421.20,-1900.00,-1153.00,42.12,21.10
01/09/22 at 07:47PM,2.80,1.00,3.00,0.06,13.72,-1422.30,-1721.00,-787.00,57.14,21.09
01/09/22 at 07:57PM,2.90,2.00,4.00,0.03,14.21,-1512.00,-1898.00,-920.00,75.58,20.51
01/09/22 at 08:08PM,3.70,3.00,4.00,0.09,18.13,-1121.70,-1464.00,-774.00,98.76,23.04
01/09/22 at 08:18PM,3.00,2.00,4.00,0.00,14.70,-1681.00,-2147.00,-1055.00,79.06,19.41
01/09/22 at 08:28PM,2.90,2.00,3.00,0.03,14.21,-1677.20,-2012.00,-1341.00,105.87,19.43
01/09/22 at 08:38PM,6.00,6.00,6.00,0.00,29.40,353.20,-50.00,854.00,77.22,32.62
01/09/22 at 08:48PM,3.10,2.00,4.00,0.03,15.19,-1833.20,-2317.00,-1373.00,137.18,18.42
01/09/22 at 08:58PM,4.50,4.00,5.00,0.16,22.05,-568.10,-1150.00,-230.00,184.01,26.64
01/09/22 at 09:08PM,3.60,3.00,5.00,0.13,17.64,-1430.20,-1878.00,-824.00,191.70,21.04
01/09/22 at 09:18PM,4.30,4.00,5.00,0.09,21.07,-514.30,-672.00,-170.00,37.22,26.99
01/09/22 at 09:28PM,3.40,3.00,4.00,0.13,16.66,-689.40,-1188.00,-35.00,206.94,25.85
01/09/22 at 09:38PM,2.70,2.00,3.00,0.09,13.23,-1377.80,-1514.00,-963.00,131.17,21.38
01/09/22 at 09:48PM,0.80,0.00,2.00,0.06,3.92,-2689.10,-3257.00,-2037.00,141.95,12.86
01/09/22 at 09:58PM,1.00,1.00,1.00,0.00,4.90,-2903.00,-3472.00,-2510.00,179.93,11.47
01/09/22 at 10:08PM,0.00,0.00,0.00,0.00,0.00,-3430.70,-3997.00,-3037.00,179.08,8.05
01/09/22 at 10:18PM,0.00,0.00,0.00,0.00,0.00,-3010.20,-3752.00,-2169.00,110.30,10.78
01/09/22 at 10:28PM,0.00,0.00,0.00,0.00,0.00,-2702.40,-3360.00,-2066.00,113.08,12.78
01/09/22 at 10:38PM,0.00,0.00,0.00,0.00,0.00,-3067.30,-4068.00,-2398.00,10.53,10.41
01/09/22 at 10:48PM,0.00,0.00,0.00,0.00,0.00,-3234.20,-4146.00,-2587.00,165.32,9.32
01/09/22 at 10:58PM,0.00,0.00,0.00,0.00,0.00,-3871.90,-4754.00,-3038.00,59.17,5.18
01/09/22 at 11:08PM,0.00,0.00,0.00,0.00,0.00,-3639.50,-4472.00,-2482.00,96.29,6.69
01/09/22 at 11:18PM,0.00,0.00,0.00,0.00,0.00,-3322.70,-4193.00,-2614.00,63.34,8.75
01/09/22 at 11:28PM,0.00,0.00,0.00,0.00,0.00,-4103.20,-4857.00,-3203.00,238.37,3.68
01/09/22 at 11:38PM,0.00,0.00,0.00,0.00,0.00,-4567.30,-5089.00,-4057.00,55.12,0.67
01/09/22 at 11:48PM,0.00,0.00,0.00,0.00,0.00,-4055.60,-4814.00,-3335.00,6.83,3.99
01/09/22 at 11:17PM,12.10,12.00,13.00,0.03,59.29,4212.70,3622.00,4673.00,145.56,57.68
01/09/22 at 11:27PM,7.60,7.00,8.00,0.19,37.24,847.80,453.00,1268.00,68.37,35.83
01/09/22 at 11:37PM,7.20,7.00,8.00,0.06,35.28,1019.80,736.00,1322.00,70.58,36.95
01/09/22 at 11:47PM,5.00,5.00,5.00,0.00,24.50,-199.90,-436.00,40.00,69.60,29.03
01/09/22 at 11:57PM,14.90,14.00,15.00,0.03,73.01,6686.40,5689.00,7342.00,315.41,73.74
